datetime,outdoor_temp,outdoor_humidity,indoor_temp,indoor_humidity,co2,occupancy,is_class_time
2024-07-15 00:00:00,24,75,26,65,450,0,0
2024-07-15 01:00:00,23,76,26,65,440,0,0
2024-07-15 02:00:00,22,77,25,66,430,0,0
2024-07-15 03:00:00,22,78,25,66,425,0,0
2024-07-15 04:00:00,22,78,25,66,420,0,0
2024-07-15 05:00:00,23,77,26,65,415,0,0
2024-07-15 06:00:00,25,74,27,64,500,10,0
2024-07-15 07:00:00,27,70,28,62,800,45,1
2024-07-15 08:00:00,29,66,28,60,950,50,1
2024-07-15 09:00:00,31,62,29,58,1100,50,1
2024-07-15 10:00:00,33,58,30,56,1200,50,1
2024-07-15 11:00:00,34,55,30,55,1250,50,0
2024-07-15 12:00:00,35,53,30,54,1300,50,0
2024-07-15 13:00:00,35,52,30,54,1280,45,0
2024-07-15 14:00:00,34,54,29,55,1150,0,0
2024-07-15 15:00:00,33,57,28,57,900,0,0
2024-07-15 16:00:00,31,62,28,59,700,40,1
2024-07-15 17:00:00,29,66,27,61,650,45,1
2024-07-15 18:00:00,28,69,27,62,550,50,1
2024-07-15 19:00:00,27,71,27,63,500,50,1
2024-07-15 20:00:00,26,72,26,64,480,30,0
2024-07-15 21:00:00,25,73,26,64,470,10,0
2024-07-15 22:00:00,25,74,26,65,460,0,0
2024-07-15 23:00:00,24,75,26,65,455,0,0
